value,date
8320,2023-11-22 22:14:43
8390,2023-11-23 23:14:40
8440,2023-11-24 22:27:10
8790,2023-11-25 22:35:07
9030,2023-11-26 04:43:38
10700,2023-11-27 22:28:58
8950,2023-11-28 05:13:28
8430,2023-11-29 22:59:36
9620,2023-11-30 22:11:10
8270,2023-12-01 00:29:13
9090,2023-12-02 23:31:47
9090,2023-12-03 00:12:46
8760,2023-12-04 22:27:58
8760,2023-12-05 00:18:42
8450,2023-12-06 00:41:29
8090,2023-12-07 23:20:35
8090,2023-12-08 00:11:34
1830,2023-12-09 00:28:54
10930,2023-12-10 23:08:16
10770,2023-12-11 00:14:08
8490,2023-12-12 22:31:00
8410,2023-12-13 00:20:29
8240,2023-12-14 23:58:51
8270,2023-12-15 00:12:50
1790,2023-12-16 22:42:35
9030,2023-12-17 22:34:35
8270,2023-12-18 23:14:15
8440,2023-12-19 23:21:38
8420,2023-12-20 00:48:01
8400,2023-12-21 23:59:09
8530,2023-12-22 00:47:12
1800,2023-12-23 00:22:18
1790,2023-12-24 00:26:41
1790,2023-12-25 22:40:48
1830,2023-12-26 22:11:51
1850,2023-12-27 22:35:47
1850,2023-12-28 22:19:20
1850,2023-12-29 22:42:46
1850,2023-12-30 22:12:11
1820,2023-12-31 03:52:49
1840,2024-01-01 22:11:11
13300,2024-01-02 23:22:01
12330,2024-01-03 00:20:38
8790,2024-01-04 04:14:21
8800,2024-01-05 23:47:06
10200,2024-01-06 22:56:01
8720,2024-01-07 00:43:01
8420,2024-01-08 00:19:01
9970,2024-01-09 23:23:57
8500,2024-01-10 00:59:56
9690,2024-01-11 00:57:22
8260,2024-01-12 00:48:57
8320,2024-01-13 00:18:48
4430,2024-01-14 22:39:31
8210,2024-01-15 23:36:55
9000,2024-01-16 22:51:18
9950,2024-01-17 01:21:15
8290,2024-01-18 00:32:50
8400,2024-01-19 22:42:39
8440,2024-01-20 23:17:26
9140,2024-01-21 23:02:18
9190,2024-01-22 00:23:06
8470,2024-01-23 00:11:34
8380,2024-01-24 00:09:28
8310,2024-01-25 23:44:11
9970,2024-01-26 22:31:51
8350,2024-01-27 00:33:06
9890,2024-01-28 00:52:03
8490,2024-01-29 22:55:00
8190,2024-01-30 00:10:46
3000,2024-01-31 08:18:38
4060,2024-02-01 09:53:51
3270,2024-02-02 08:07:06
2970,2024-02-03 14:46:58
