value,date
4943,2023-07-12
6285,2023-07-13
4728,2023-07-14
5247,2023-07-15
3602,2023-07-16
4266,2023-07-17
4107,2023-07-18
4260,2023-07-19
4393,2023-07-20
6268,2023-07-21
4375,2023-07-22
2572,2023-07-23
2218,2023-07-24
2643,2023-07-25
2711,2023-07-26
4005,2023-07-27
6508,2023-07-28
4361,2023-07-29
1701,2023-07-30
526,2023-07-31
530,2023-08-01
537,2023-08-02
549,2023-08-03
531,2023-08-04
500,2023-08-05
487,2023-08-06
460,2023-08-07
468,2023-08-08
468,2023-08-09
488,2023-08-10
521,2023-08-11
577,2023-08-12
584,2023-08-13
610,2023-08-14
624,2023-08-15
630,2023-08-16
635,2023-08-17
641,2023-08-18
644,2023-08-19
669,2023-08-20
695,2023-08-21
718,2023-08-22
736,2023-08-23
730,2023-08-24
716,2023-08-25
689,2023-08-26
615,2023-08-27
513,2023-08-28
464,2023-08-29
449,2023-08-30
6109,2023-08-31
5792,2023-09-01
5270,2023-09-02
8204,2023-09-03
5660,2023-09-04
5124,2023-09-05
7036,2023-09-06
3665,2023-09-07
4194,2023-09-08
3866,2023-09-09
3949,2023-09-10
4426,2023-09-11
5617,2023-09-12
5936,2023-09-13
6173,2023-09-14
3815,2023-09-15
6045,2023-09-16
9538,2023-09-17
5266,2023-09-18
5017,2023-09-19
5830,2023-09-20
6310,2023-09-21
4298,2023-09-22
5241,2023-09-23
6104,2023-09-24
8118,2023-09-25
7806,2023-09-26
5351,2023-09-27
5598,2023-09-28
4677,2023-09-29
4930,2023-09-30
5562,2023-10-01
6771,2023-10-02
6011,2023-10-03
4446,2023-10-04
6749,2023-10-05
4729,2023-10-06
2639,2023-10-07
2750,2023-10-08
5545,2023-10-09
6976,2023-10-10
7296,2023-10-11
8169,2023-10-12
6427,2023-10-13
6834,2023-10-14
6227,2023-10-15
15761,2023-10-16
27861,2023-10-17
41391,2023-10-18
8866,2023-10-19
15871,2023-10-20
15592,2023-10-21
31225,2023-10-22
16157,2023-10-23
22874,2023-10-24
26524,2023-10-25
28761,2023-10-26
22088,2023-10-27
23251,2023-10-28
28115,2023-10-29
32727,2023-10-30
27628,2023-10-31
32239,2023-11-01
35931,2023-11-02
19684,2023-11-03
20323,2023-11-04
36719,2023-11-05
37884,2023-11-06
32711,2023-11-07
36854,2023-11-08
45248,2023-11-09
43964,2023-11-10
38663,2023-11-11
42973,2023-11-12
40732,2023-11-13
34329,2023-11-14
28113,2023-11-15
37308,2023-11-16
34621,2023-11-17
41911,2023-11-18
35901,2023-11-19
38667,2023-11-20
34518,2023-11-21
35288,2023-11-22
37588,2023-11-23
33279,2023-11-24
38910,2023-11-25
47763,2023-11-26
55861,2023-11-27
50640,2023-11-28
35298,2023-11-29
43559,2023-11-30
21056,2023-12-01
39547,2023-12-02
57968,2023-12-03
47274,2023-12-04
44027,2023-12-05
37529,2023-12-06
48223,2023-12-07
26287,2023-12-08
2824,2023-12-09
27411,2023-12-10
71893,2023-12-11
51504,2023-12-12
41787,2023-12-13
43481,2023-12-14
21273,2023-12-15
2733,2023-12-16
21318,2023-12-17
38958,2023-12-18
60638,2023-12-19
50728,2023-12-20
45059,2023-12-21
29005,2023-12-22
4130,2023-12-23
2390,2023-12-24
2093,2023-12-25
2002,2023-12-26
2021,2023-12-27
2028,2023-12-28
2045,2023-12-29
2069,2023-12-30
2050,2023-12-31
2071,2024-01-01
37876,2024-01-02
96872,2024-01-03
45617,2024-01-04
43507,2024-01-05
46709,2024-01-06
42899,2024-01-07
33281,2024-01-08
32786,2024-01-09
36714,2024-01-10
25538,2024-01-11
24677,2024-01-12
46217,2024-01-13
30420,2024-01-14
38739,2024-01-15
41453,2024-01-16
59665,2024-01-17
36903,2024-01-18
31767,2024-01-19
33930,2024-01-20
33921,2024-01-21
61422,2024-01-22
42893,2024-01-23
40664,2024-01-24
36626,2024-01-25
39984,2024-01-26
33458,2024-01-27
30973,2024-01-28
35214,2024-01-29
22872,2024-01-30
25361,2024-01-31
31405,2024-02-01
23707,2024-02-02
22190,2024-02-03
16851,2024-02-04
22956,2024-02-05
21795,2024-02-06
22961,2024-02-07
21718,2024-02-08
15502,2024-02-09
2901,2024-02-10
27747,2024-02-11
28610,2024-02-12
28900,2024-02-13
24772,2024-02-14
29279,2024-02-15
22898,2024-02-16
17102,2024-02-17
14280,2024-02-18
23463,2024-02-19
22660,2024-02-20
23353,2024-02-21
26016,2024-02-22
24145,2024-02-23
24388,2024-02-24
24198,2024-02-25
38251,2024-02-26
39678,2024-02-27
20624,2024-02-28
18592,2024-02-29
17109,2024-03-01
18375,2024-03-02
37615,2024-03-03
33292,2024-03-04
24985,2024-03-05
31272,2024-03-06
8910,2024-03-07
17727,2024-03-08
15290,2024-03-09
